etadB,keyRateEUR
-0,0.670408184180687
2,0.421420612405127
4,0.264639616547056
6,0.165970543250941
8,0.103915687393104
10,0.0649212549103304
12,0.0404457069336862
14,0.0251018934282257
16,0.0155025779256135
18,0.00950767000677741
20,0.00577841146305472
22,0.00346454879263426
24,0.00209071937642701
26,0.00124724456023904
28,0.000728579357376666
30,0.000422951289829074
32,0.000239281732126354
34,0.000132602544921088
36,7.06242906947172e-05
38,3.56177585407089e-05
40,1.63903126665011e-05
42,6.28135885773324e-06
44,1.31053634977388e-06
46,-8.05282440848501e-07
48,0
50,0
